68,Orange,Blue,Bored Unshaven Cigarette,Bloodshot,None,Black T,Ww2 Pilot Helm
69,Orange,Dark Brown,Phoneme  ooo,Sad,None,None,Seaman's Hat
70,Purple,Brown,Phoneme  ooo,Sunglasses,None,Bone Necklace,None
71,Orange,Cheetah,Bored,Bloodshot,None,Stunt Jacket,Bowler
72,Yellow,Blue,Bored,Bloodshot,Gold Stud,Prison Jumpsuit,Horns
73,Army Green,Solid Gold,Rage,Sad,Gold Stud,Work Vest,Bandana Blue
74,Purple,Death Bot,Phoneme Vuh,Angry,None,Guayabera,Bowler
75,Orange,Golden Brown,Discomfort,Closed,None,Bayc T Red,S&m Hat
76,New Punk Blue,Brown,Grin,Bored,None,Toga,Fez
77,Yellow,Red,Dumbfounded,Coins,None,Wool Turtleneck,Beanie
78,Yellow,Black,Grin,3d,None,Lab Coat,Fez
79,Army Green,Dark Brown,Bored,Bored,None,Lab Coat,None
80,Orange,Brown,Bored Unshaven,Sad,Diamond Stud,Tanktop,Horns
81,Blue,Red,Discomfort,Blindfold,None,Cowboy Shirt,None
82,Army Green,Cream,Jovial,Sad,Silver Hoop,Service,None
83,Blue,Cream,Bored Unshaven,Coins,None,Tweed Suit,Ww2 Pilot Helm
84,New Punk Blue,Brown,Bored Unshaven,Coins,None,Hawaiian,Ww2 Pilot Helm
85,Blue,Tan,Grin,Bloodshot,None,Admirals Coat,Bowler
86,New Punk Blue,Zombie,Bored,Bored,Gold Hoop,Tuxedo Tee,None
87,Aquamarine,Cheetah,Bored Unshaven,Sunglasses,None,Guayabera,Bunny Ears
88,Blue,Black,Bored Unshaven,Wide Eyed,Gold Hoop,Pimp Coat,Horns
89,Gray,Black,Bored Dagger,3d,None,None,Commie Hat
90,Army Green,Golden Brown,Grin,Hypnotized,Silver Hoop,Tweed Suit,Prussian Helmet
91,Army Green,Brown,Bored Cigarette,Sleepy,None,Black Holes T,Beanie
92,Blue,Pink,Jovial,Heart,None,None,Beanie
93,Purple,White,Bored Unshaven Cigarette,Bored,None,Hip Hop,Fez
94,Aquamarine,Zombie,Bored Unshaven Kazoo,Closed,None,Black Holes T,Beanie
95,Yellow,Tan,Bored,Scumbag,None,Lumberjack Shirt,S&m Hat
96,Yellow,Robot,Bored Unshaven Cigarette,Sleepy,None,Stunt Jacket,Girl's Hair Short
97,Blue,Dark Brown,Bored,Heart,None,None,Commie Hat
98,Gray,Death Bot,Rage,Bored,None,Stunt Jacket,Spinner Hat
99,Army Green,Dark Brown,Grin,Closed,Silver Hoop,Black Holes T,Sushi Chef Headband
100,Yellow,Dark Brown,Bored Cigarette,Wide Eyed,None,None,Party Hat 2
101,Army Green,Gray,Bored,Eyepatch,None,Navy Striped Tee,Fisherman's Hat
102,Aquamarine,Gray,Bored,Bored,None,Biker Vest,Irish Boho
103,Purple,Black,Phoneme L,Sleepy,None,Leather Jacket,Short Mohawk
104,Aquamarine,Brown,Bored Pipe,Holographic,None,Bayc T Black,Laurel Wreath
105,Aquamarine,Black,Rage,Coins,Silver Hoop,Striped Tee,Seaman's Hat
106,New Punk Blue,Cheetah,Bored,Crazy,None,Tuxedo Tee,Bunny Ears
107,Blue,Red,Bored,Zombie,None,Space Suit,Short Mohawk
108,Purple,Dark Brown,Grin,X Eyes,Gold Stud,None,Sea Captain's Hat
109,Orange,Dark Brown,Bored Cigarette,Eyepatch,Silver Stud,Bayc T Black,None
110,Yellow,Tan,Bored Unshaven,Bloodshot,Cross,Striped Tee,Beanie
111,Orange,Brown,Bored Unshaven,Angry,None,Leather Jacket,Bayc Flipped Brim
112,New Punk Blue,Cream,Bored,X Eyes,None,None,Cowboy Hat
113,Gray,Black,Bored,Zombie,None,Navy Striped Tee,Horns
114,Yellow,Dark Brown,Bored Cigarette,Holographic,Silver Hoop,Bone Tee,Seaman's Hat
115,Purple,Cream,Bored Cigar,Bloodshot,None,Sleeveless T,Bayc Hat Black
116,Aquamarine,Black,Bored Unshaven Cigarette,Coins,None,Sleeveless T,None
117,Blue,Tan,Bored Cigarette,Cyborg,None,Navy Striped Tee,Beanie
118,New Punk Blue,Tan,Bored Kazoo,Blue Beams,None,Navy Striped Tee,None
119,Blue,Gray,Phoneme L,Angry,Silver Stud,Hawaiian,Beanie
120,Aquamarine,Brown,Bored Pizza,Heart,Silver Hoop,Work Vest,Sea Captain's Hat
121,Blue,Brown,Bored Unshaven,Cyborg,Gold Stud,None,Seaman's Hat
122,Orange,Pink,Bored Cigarette,Heart,Silver Stud,Service,None
123,New Punk Blue,White,Bored Cigar,Coins,None,Black Holes T,Spinner Hat
124,Gray,White,Bored Cigarette,Eyepatch,None,Hawaiian,Short Mohawk
125,Orange,Golden Brown,Bored Cigarette,Coins,None,None,Army Hat
126,Army Green,Zombie,Grin,Coins,Silver Hoop,Navy Striped Tee,Safari
127,Orange,Cream,Grin,Crazy,None,None,S&m Hat
128,Yellow,Gray,Bored,Hypnotized,None,Leather Punk Jacket,Trippy Captain's Hat
129,New Punk Blue,Pink,Rage,Bored,None,Tanktop,Baby's Bonnet
130,Aquamarine,Pink,Bored,Bored,None,Vietnam Jacket,None
131,Gray,Dark Brown,Bored,Bored,None,Bone Necklace,None
132,Army Green,Red,Bored Unshaven Kazoo,Wide Eyed,Silver Stud,Black Holes T,Girl's Hair Pink
133,Aquamarine,Brown,Bored Unshaven,Bored,None,Black Holes T,None
134,Army Green,Dark Brown,Bored Unshaven,Laser Eyes,None,Sleeveless Logo T,Halo
135,Blue,Pink,Bored,Sad,Gold Stud,Lumberjack Shirt,S&m Hat
136,Blue,Tan,Phoneme Vuh,Heart,None,Hawaiian,None
137,New Punk Blue,Death Bot,Bored,Crazy,None,Tanktop,Short Mohawk
138,Orange,Dark Brown,Phoneme Vuh,Bloodshot,Cross,Bayc T Black,Halo
139,Army Green,Zombie,Bored Unshaven,X Eyes,None,Puffy Vest,Army Hat
140,Yellow,Cheetah,Bored Unshaven,Eyepatch,None,Sailor Shirt,None
141,Aquamarine,Cream,Dumbfounded,Closed,Silver Hoop,Hawaiian,None
142,Blue,Blue,Bored,Sleepy,Gold Hoop,Black T,Bayc Hat Black
143,Army Green,Cream,Bored,Bored,None,Bayc T Red,Beanie
144,Orange,White,Phoneme Vuh,Wide Eyed,None,Toga,Fisherman's Hat
145,Orange,Black,Bored Unshaven,3d,None,Bone Necklace,Prussian Helmet
146,Gray,Zombie,Phoneme L,Laser Eyes,None,Sleeveless Logo T,Faux Hawk
147,Orange,Zombie,Bored,Bored,Silver Hoop,Black Holes T,None
148,Aquamarine,Black,Bored Cigar,Blindfold,Gold Stud,Striped Tee,None
149,Orange,White,Bored Cigarette,3d,Silver Hoop,None,None
150,Gray,Dark Brown,Bored,Bored,None,Cowboy Shirt,Sushi Chef Headband
151,Gray,Blue,Bored Unshaven Cigarette,Blindfold,None,Bone Tee,Seaman's Hat
152,Army Green,Brown,Bored,Sad,Silver Stud,Tanktop,Girl's Hair Pink
153,Orange,Blue,Grin,Bored,None,Navy Striped Tee,None
154,Army Green,Golden Brown,Bored,Bloodshot,None,Toga,Girl's Hair Short
155,Blue,Dmt,Grin,Sunglasses,Silver Hoop,Leather Punk Jacket,Vietnam Era Helmet
156,Orange,Golden Brown,Bored Unshaven,X Eyes,None,Tanktop,S&m Hat
157,Army Green,Dark Brown,Bored,Bored,Silver Stud,Navy Striped Tee,None
158,Purple,Dark Brown,Bored Unshaven,Bored,Silver Hoop,Black T,None
159,Aquamarine,Zombie,Bored,Sad,None,None,None
160,Blue,Dark Brown,Bored,X Eyes,None,None,Short Mohawk
161,Yellow,Black,Grin,Sad,None,None,Commie Hat
162,Blue,Noise,Jovial,Bloodshot,None,Wool Turtleneck,Spinner Hat
163,Aquamarine,Zombie,Bored Unshaven,Heart,None,Striped Tee,Bayc Flipped Brim
164,Yellow,White,Bored,Wide Eyed,None,Bone Tee,Fez
165,Purple,Cream,Bored Unshaven,Robot,None,Tuxedo Tee,Beanie
