137,0.6,1.3,,,,,,,,,,,,
138,3.2,10.47,,,,,,,,,,,,
139,30,,,,,,,,,,,,,
140,0.33,6.25,7.29,,,,,,,,,,,
141,0.5770539506,0.99,32,36.1,49.98,40,32.95,,,,,,,
142,50,,,,,,,,,,,,,
143,,,,,,,,,,,,,,
144,0.182,0.35,,,,,,,,,,,,
145,,,,,,,,,,,,,,
146,1.25,,,,,,,,,,,,,
147,0.16,25,,,,,,,,,,,,
148,,,,,,,,,,,,,,
149,0.3971348289,,,,,,,,,,,,,
150,50,55,,,,,,,,,,,,
151,,,,,,,,,,,,,,
152,32.369,36.69,,,,,,,,,,,,
153,,,,,,,,,,,,,,
154,60,50.03,45,46.99,,,,,,,,,,
155,,,,,,,,,,,,,,
156,31.6938,35.49,,,,,,,,,,,,
157,34,41,,,,,,,,,,,,
158,37,43.75,,,,,,,,,,,,
159,20,,,,,,,,,,,,,
160,32.5121,36.4,37.49,,,,,,,,,,,
161,32.369,36.4,,,,,,,,,,,,
162,12,,,,,,,,,,,,,
163,30,,,,,,,,,,,,,
164,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,
166,35,,,,,,,,,,,,,
167,35.96,41.111,,,,,,,,,,,,
168,35,52,38.7,,,,,,,,,,,
169,11,18.7,,,,,,,,,,,,
170,1.7220739,12,22.5,,,,,,,,,,,
171,0.4888,0.57,1.7,2.44,6.9,5.1,13.999,32.6,,,,,,
172,2.1,2.65,4.2,,,,,,,,,,,
173,3.69,,,,,,,,,,,,,
174,5.2,,,,,,,,,,,,,
175,2.469,7.1,,,,,,,,,,,,
176,0.515,1.9999,,,,,,,,,,,,
177,1.505,1.95,8.25,8.7,,,,,,,,,,
178,0.76,1.45,,,,,,,,,,,,
179,0.242,0.3999,1.99,15.9,16.5,,,,,,,,,
180,0.38,6.99,,,,,,,,,,,,
181,7,9.5,25,,,,,,,,,,,
182,1.65,2.0999,6.3,,,,,,,,,,,
183,1.7,2.05,3.19,,,,,,,,,,,
184,1.757,4.78,,,,,,,,,,,,
185,20,36,,,,,,,,,,,,
186,1.65,2.2999,,,,,,,,,,,,
187,,,,,,,,,,,,,,
188,1.5,8.69,,,,,,,,,,,,
189,2.4,41.95,,,,,,,,,,,,
190,1.5,4,30,,,,,,,,,,,
191,1.8,3,2.68,4.44,49,,,,,,,,,
192,44.8,,,,,,,,,,,,,
193,1.51,1.59,,,,,,,,,,,,
194,0.1,0.3199,,,,,,,,,,,,
195,0.12,32.83095417,,,,,,,,,,,,
196,1.5,2.4,11,,,,,,,,,,,
197,109,,,,,,,,,,,,,
198,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,
200,33,,,,,,,,,,,,,
201,0.35,,,,,,,,,,,,,
202,32,40.5,54.2069,,,,,,,,,,,
203,0.27,24,45,44.999,40.9,,,,,,,,,
204,,,,,,,,,,,,,,
205,0.1,4,24.2,40.68,,,,,,,,,,
206,0.14,,,,,,,,,,,,,
207,0.28,0.41,8,33,80,,,,,,,,,
208,,,,,,,,,,,,,,
209,0.437,0.6,33,40,,,,,,,,,,
210,0.4,1.72,,,,,,,,,,,,
211,12.5,90,147.8,,,,,,,,,,,
212,23.5,35,,,,,,,,,,,,
213,1.25,33.66,,,,,,,,,,,,
214,0.315,10,16.8,,,,,,,,,,,
215,0.432,0.5,4.49,8,5.35,6.58,6.2,7.2,14.65,21.99,21.99,28.85,,
216,2.805,3.4346,2.85,5.5,14.5,35,,,,,,,,
217,16.69,19.99,35.02,39.75,,,,,,,,,,
218,17,,,,,,,,,,,,,
219,0.41,16.5,,,,,,,,,,,,
220,0.35,0.2,2.68,3.089,16.18,,,,,,,,,
221,0.33,3.1,,,,,,,,,,,,
