0,0.01
340,25.149,44.0
341,20.1192
342,25.149,16.0
343,22.6341,40.28
344,25.149,0.399
345,25.149,1.925
346,25.149,2.7
347,25.149,0.36
348,25.149,0.7999
349,25.149,2.7
350,25.149,69.0
351,25.149,39.99
352,25.149,0.72
353,25.149
354,25.149,41.0
355,25.149,0.68
356,25.149
357,25.149,45.0
358,25.149,30.0
359,22.6341,13.9
360,25.149,0.97
361,25.149,2.85
362,25.149,7.0
363,25.149,0.5
364,25.149,50.0
365,22.6341,14.9
366,25.149
367,25.149,36.75
368,25.149,7.0
369,25.149,3.6
370,25.149
371,25.149,0.9
372,25.149
373,25.149,7.0
374,22.6341,0.85
375,25.149,30.304000000000002
376,20.1192,63.8
377,25.149,1.6
378,25.149,0.75
379,25.149
380,25.149,3.5
381,25.149,7.7
382,22.6341,39.5
383,25.149
384,25.149,99.99
385,25.149,0.7
386,25.149,16.62387578482946
387,25.149,2.39
388,20.1192,8.0
389,25.149,0.5
390,25.149,0.4294217995218997
391,25.149,2.75
392,25.149,0.599
393,25.149
394,25.149
395,25.149
396,25.149
397,25.149,0.2
398,25.149
399,25.149
400,25.90347,60.0
401,25.149,0.64
402,25.149,0.59
403,25.149,1.9
404,25.149,17.5
405,25.149,9.5
406,25.149
407,25.149,0.38
408,25.149,0.23
409,25.149,7.5
410,25.149,16.0
411,25.149,14.1
412,25.149,6.0
413,25.149
414,22.6341
415,25.149
416,22.6341
417,25.149,0.5
418,25.149,0.7
419,25.149
420,25.149
421,25.90347,18.5
422,20.1192,4.65
423,25.149
424,25.149,4.3
425,25.149
426,25.149,0.6
427,25.149,3.5555
428,25.149,3.0
429,25.149,1.05
430,22.6341,5.0
431,25.149,3.29
432,25.149,4.8
433,25.149,3.55
434,25.149,3.6
435,25.149
436,25.149,75.0
437,25.149,0.7569
438,25.149,1.5
439,25.149,39.9
440,25.149,35.95
441,25.90347
442,25.149,41.9
443,25.149,3.6999
444,25.149
445,25.149,15.25
446,25.90347
447,25.149,38.99
448,25.149,9.8
449,25.149
450,22.6341
451,25.149
452,25.149,62.0
453,25.149,10.0
454,25.149,39.0
455,25.149
456,25.149,3.9
457,25.149,45.0
458,25.149
459,25.149
460,25.149
461,22.6341
462,25.149
463,25.90347,65.0
464,25.149,28.0
465,25.149,0.5
466,25.90347,12.0
467,25.149
468,25.149,46.0
469,22.6341
470,25.149
471,25.149
472,25.149
473,25.149
474,25.149,25.0
475,25.149,2.6
476,25.149,11.0
477,25.149,1.99
478,25.149
479,25.149,1.91
480,25.149,50.0
481,25.90347,4.2069
482,25.149,1.05
483,25.149,43.0
484,25.149,0.13
485,25.149
486,25.149,21.987444172676522
487,25.149,1.61
488,25.149,12.0
489,25.149,5.0
490,25.149
491,25.149,15.0
492,25.149,0.75
493,25.149,44.0
494,25.149
495,25.149
496,25.149
497,25.149
498,25.149
499,25.149
500,22.6341
501,25.149
502,25.149
503,25.149,38.0
504,25.149,48.0
505,25.149
506,25.149,42.69
507,25.149,5.0
508,25.149,8.0
509,25.149
510,25.149
511,23.89155,28.0
512,25.149,4.0
513,25.149,6.0
514,25.149
515,25.149
516,25.149,13.98
517,20.1192
518,25.149,46.0
519,25.149
520,25.149
521,25.149
522,25.149,4.8
523,25.90347
524,25.149
525,22.6341,16.75
526,25.149,10.0
527,25.149
528,25.90347,6.5
529,25.149,55.0
530,25.149,0.5
531,25.149,38.0
532,25.149
533,25.149,5.939
534,25.149,55.0
535,25.149
536,25.149,44.0
537,25.149
538,25.149
539,22.6341,40.0
540,25.149
541,25.149
542,25.90347,10.9999
543,25.149,0.379
544,25.90347,73.0
545,25.149,1.99
546,25.90347,155.0
547,25.149,0.95
548,25.149,4.5
549,25.149,2.25
550,25.15,22.0
551,25.149,1.59
552,25.149,0.549
553,25.149,1.44
554,25.149,1.59
555,25.149,0.777
556,25.149
557,25.149,3.0
558,25.149,6.5
559,25.149
560,25.149,0.94
561,25.149,3.67
562,25.90347,55.0
563,25.149
564,25.149,24.49
565,25.90347,23.0
566,25.149,0.4455
567,25.149,42.0
568,25.149,0.5
569,25.149,8.88
570,22.6341,35.55
571,25.149,37.95
572,20.1192,0.41
573,25.149,27.37
574,25.149,0.45
575,22.6341,0.4
576,25.149,2.69
577,25.149,2.24
578,25.149
579,25.149
580,25.149,0.4
581,25.149,7.469
582,25.149,110.0
583,25.149,37.0
584,25.149,0.5
585,25.149,2.8
586,25.90347,49.69
587,25.149,24.0
588,25.149,0.25
589,22.6341,2.0
590,25.90347,74.69
591,25.90347,1.8
592,25.149,1.25
593,25.149,2.0
594,25.149,3.8383
595,25.149,1.0
596,25.149
597,25.149,0.75
598,20.1192,1.75
599,25.149,46.6
600,25.149
601,25.149,42.0
602,25.149,9.5
603,25.149,7.89
604,25.149,5.99
605,25.90347,4.4
606,25.149,2.0
607,25.149,2.2
608,25.149,3.5
609,25.149,1.5
610,25.149,10.0
611,25.149,16.99
612,25.149
613,25.149,2.9999
614,23.89155,5.0
615,25.149,0.38
616,25.149,0.48523557126030625
617,25.149,20.0
618,25.149,0.3499
619,25.149,0.6
620,25.149,29.0
621,22.6341,16.0
622,25.149
623,25.149,10.2
624,25.149,0.333
625,25.149,38.49
626,25.149,22.0
627,25.149,42.6
628,25.149,0.29
629,22.6341,36.69
630,25.149,38.0
631,25.149
632,25.149,4.7
633,25.149,4.5
634,25.149,17.3
635,25.149,4.9
636,25.149
637,25.149,0.449
638,25.149
639,22.6341,33.0
640,25.149,5.0
641,25.149,18.5
642,25.149,0.452
643,25.149,10.0
644,25.149
645,25.149
646,25.149
647,22.6341,16.9
648,25.90347,31.0
649,25.149
650,25.149
651,25.90347
652,25.149,99.0
653,25.149
654,25.149,2.95
655,25.149,0.5999
656,25.90347,69.42
657,25.149,5.0
658,25.149,0.52
659,25.149,24.0
660,25.149,6.0
661,25.149,3.98
662,25.149,8.371435703983135
663,25.149,0.089
664,25.149,37.0
